id,categoria,codigo,descripcion,unidad,precio_base,precio_material,precio_mano_obra
38,COCINA,CAB DEM,Cocina - Desmonte y remoción de gabinetes superiores e inferiores,LF,12.0,0.0,0.0
39,COCINA,CAB BAS,Cocina - Montaje y nivelación de gabinetes de base,LF,38.0,0.0,0.0
40,COCINA,CAB UPP,Cocina - Montaje y anclaje estructural de gabinetes aéreos / altos,LF,34.0,0.0,0.0
41,COCINA,CAB HND,Cocina - Perforación e instalación de manijas o tiradores,EA,6.0,0.0,0.0
42,COCINA,TIL BCK,Cocina - Azulejo cerámico tipo metro / mosaico en backsplash,SF,13.5,0.0,0.0
43,COCINA,PLM SNK,Cocina - Instalación de fregadero bajo encimera y triturador de basura,EA,260.0,0.0,0.0
44,DRYWALL,DRY REM,Drywall - Demolición y acarreo de láminas dañadas,SF,0.75,0.0,0.0
45,DRYWALL,DRY 12,Drywall - Suministro y colgado de lámina estándar de 1/2 pulgada,SF,1.5,0.0,0.0
46,DRYWALL,DRY WTR,Drywall - Colgado de panel resistente a humedad (Greenboard / Durock),SF,2.25,0.0,0.0
47,DRYWALL,DRY FIN,"Drywall - Encinte, masillado y lijado Nivel 4 listo para pintar",SF,1.25,0.0,0.0
48,DRYWALL,DRY POP,Drywall - Raspado y eliminación de textura popcorn en cielos,SF,1.8,0.0,0.0
49,DRYWALL,DRY PCH,Drywall - Parche de reparación hasta 2x2 pies con cinta y acabado,EA,85.0,0.0,0.0
50,DRYWALL,INS BAT,Aislamiento - Colocación de aislamiento de fibra de vidrio R-13 o R-19,SF,0.95,0.0,0.0
51,PINTURA,PNT WAL,Pintura - Sellador y 2 manos de pintura látex en paredes interiores,SF,0.9,0.0,0.0
52,PINTURA,PNT CEI,Pintura - Pintura blanca plana antirreflejo para techos / cielos,SF,0.85,0.0,0.0
53,PINTURA,PNT TRM,"Pintura - Esmalte semi-brillante en rodapiés, molduras y jambas",LF,1.1,0.0,0.0
54,PINTURA,PNT DOR,Pintura - Preparación y esmaltado de puerta interior completa (ambos lados),EA,50.0,0.0,0.0
55,PINTURA,PNT EXT,"Pintura - Lavado a presión, sellado y pintura de siding exterior",SF,1.65,0.0,0.0
56,FRAMING,FRM 2X4,Framing - Muro divisorio interior con madera de 2x4 a 16 O.C.,LF,8.5,0.0,0.0
57,FRAMING,FRM SUB,Framing - Reemplazo de tablero estructural de subfloor OSB/Plywood 3/4,SF,3.8,0.0,0.0
58,FRAMING,FRM HDR,Framing - Instalación de cabezal o dintel estructural (Header),LF,18.0,0.0,0.0
59,CARPINTERÍA,CAR DOR,Carpintería - Instalación y plomeado de puerta interior precolgada,EA,110.0,0.0,0.0
60,CARPINTERÍA,CAR SLD,Carpintería - Instalación de estructura para puerta de bolsillo (Pocket Door),EA,275.0,0.0,0.0
61,CARPINTERÍA,CAR CRN,Carpintería - Suministro e instalación de moldura de corona (Crown Moulding),LF,4.85,0.0,0.0
62,DECK,DCK DEM,Deck - Demolición y remoción de deck de madera existente,SF,2.2,0.0,0.0
63,DECK,DCK PST,"Deck - Excavación, plomeado y anclaje de poste de soporte 6x6 en zapata",EA,85.0,0.0,0.0
64,DECK,DCK JST,Deck - Estructura de viguetas tratadas (Joists 2x10 o 2x12),LF,5.8,0.0,0.0
65,DECK,DCK BRD,Deck - Piso de madera tratada para exterior (Decking 5/4x6),SF,4.5,0.0,0.0
66,DECK,DCK RAL,Deck - Barandal de madera tratada con pasamanos y balusteres 2x2,LF,22.0,0.0,0.0
67,CERCA,FNC REM,Cerca - Demolición y acarreo de cerca de madera dañada,LF,3.5,0.0,0.0
68,CERCA,FNC WOD,Cerca - Instalación de cerca de privacidad de madera 6 pies (dog-ear),LF,26.0,0.0,0.0
69,CERCA,FNC PIC,Cerca - Cerca de madera estilo Picture-Frame con postes 4x4,LF,32.0,0.0,0.0
70,TECHO,RFG SHN,Techo - Remoción y reemplazo de teja de asfalto arquitectónica,SQ,340.0,0.0,0.0
71,TECHO,RFG SBS,Techo - Sistema autoadherible SBS de 2 capas para techo plano/bajo pendiente,SQ,145.0,0.0,0.0
72,EXTERIOR,SDG WRAP,Exterior - Instalación de barrera contra clima / Housewrap (Tyvek o similar),SF,0.45,0.0,0.0
73,EXTERIOR,SDG VIN,Exterior - Instalación de siding de vinilo estándar residencial,SF,3.85,0.0,0.0
74,EXTERIOR,SDG HRD,Exterior - Instalación de siding de fibrocemento (HardiePlank / Lap Siding),SF,6.25,0.0,0.0
75,EXTERIOR,SDG BRD,Exterior - Instalación de siding vertical estilo Board and Batten (Hardie),SF,7.1,0.0,0.0
76,EXTERIOR,SDG DEM,Exterior - Demolición y remoción de siding viejo y disposición de escombros,SF,0.95,0.0,0.0
77,EXTERIOR,FSC WOD,Exterior - Reemplazo o instalación de fascia de madera tratada 1x6 o 1x8,LF,6.5,0.0,0.0
78,EXTERIOR,FSC ALM,Exterior - Revestimiento de fascia con aluminio doblado en obra (Aluminum Wrap),LF,5.75,0.0,0.0
79,EXTERIOR,SFT VEN,Exterior - Instalación de soffit de vinilo o aluminio ventilado,LF,5.25,0.0,0.0
80,EXTERIOR,SFT HRD,Exterior - Instalación de soffit de fibrocemento HardieSoffit con ventilación,SF,4.5,0.0,0.0
81,EXTERIOR,GTR 6IN,Exterior - Instalación de canaletas continuas de aluminio sin costura de 6 pulg,LF,8.5,0.0,0.0
82,EXTERIOR,GTR DWS,Exterior - Bajante pluvial de aluminio (Downspout) con codos,LF,7.0,0.0,0.0
83,EXTERIOR,GTR GRD,Exterior - Protectores de hojas y rejilla para canaletas (Gutter Guards),LF,4.25,0.0,0.0
84,EXTERIOR,GTR CLN,Exterior - Limpieza y lavado profundo de sistema de canaletas,LF,1.25,0.0,0.0
85,EXTERIOR,CNC DEM,Exterior - Demolición y remoción de losa de concreto existente (hasta 4 pulg),SF,2.8,0.0,0.0
86,EXTERIOR,CNC DRV,"Exterior - Vaciado y acabado de concreto para driveway/entrada de vehículos (4 pulg, 4000 PSI)",SF,8.5,0.0,0.0
87,EXTERIOR,CNC PAT,Exterior - Vaciado y acabado con llana de patio o acera peatonal de concreto,SF,7.5,0.0,0.0
88,EXTERIOR,CNC STV,Exterior - Concreto estampado decorativo / teñido para patios,SF,13.0,0.0,0.0
89,EXTERIOR,WIN REP,Exterior - Reemplazo de ventana de vinilo doble vidrio (Retrofit / Replacement),EA,185.0,0.0,0.0
90,EXTERIOR,WIN NEW,Exterior - Instalación de ventana nueva construcción con aletas y tape impermeabilizante,EA,260.0,0.0,0.0
91,EXTERIOR,DOR EXT,Exterior - Instalación de puerta de entrada principal de fibra de vidrio o acero,EA,320.0,0.0,0.0
92,EXTERIOR,DOR PAT,Exterior - Instalación de puerta corrediza de vidrio para patio (Sliding Patio Door),EA,450.0,0.0,0.0
93,EXTERIOR,PWS HSE,Exterior - Lavado a presión suave (Soft Wash) en paredes y siding de casa,SF,0.25,0.0,0.0
94,EXTERIOR,PWS DRV,Exterior - Lavado a presión de entrada de autos (driveway) y aceras,SF,0.2,0.0,0.0
95,EXTERIOR,EXT STN,"Exterior - Limpieza, lijado y aplicación de sellador/stain en deck de madera",SF,1.75,0.0,0.0
96,COMERCIAL,DRY DEM-M,Demolición - Retiro de muro de tabiquería drywall y studs de metal existentes,SF,1.15,0.0,0.0
97,COMERCIAL,DRY DEM-L,Demolición - Retiro únicamente de láminas de drywall dañadas sobre perfilería metálica,SF,0.65,0.0,0.0
98,COMERCIAL,DRY DIS-C,Demolición - Acarreo interno y disposición en contenedor comercial (C&D debris),CY,42.0,0.0,0.0
99,COMERCIAL,FRM TRK-25,Framing Metálico - Riel o canal inferior/superior (Track) 3-5/8 cal. 25 fijado con disparo/anclaje,LF,2.85,0.0,0.0
100,COMERCIAL,FRM TRK-20,Framing Metálico - Riel o canal inferior/superior (Track) 3-5/8 o 6 pulg cal. 20 estructural,LF,4.2,0.0,0.0
101,COMERCIAL,FRM DEF-SL,Framing Metálico - Canal de deflexión superior ranurado (Slotted Track) para asentamiento de losa,LF,5.6,0.0,0.0
102,COMERCIAL,FRM BCK-W,Framing Metálico - Refuerzo de madera tratada (Wood Backing 2x6/2x8) para soporte de gabinetes y vanities,LF,4.25,0.0,0.0
103,COMERCIAL,FRM BCK-M,Framing Metálico - Refuerzo con lámina de acero galvanizado (Flat Strap Backing 16-20 Ga),LF,3.4,0.0,0.0
104,COMERCIAL,FRM STD-25A,Framing Metálico - Stud 2-1/2 cal. 25 a 16 O.C. para muros divisorios (hasta 10 pies),LF,3.1,0.0,0.0
105,COMERCIAL,FRM STD-25B,Framing Metálico - Stud 3-5/8 cal. 25 a 16 O.C. para tabiquería interior estándar (hasta 10 pies),LF,3.75,0.0,0.0
106,COMERCIAL,FRM STD-25C,Framing Metálico - Stud 3-5/8 cal. 25 a 16 O.C. para muros altos de 10 a 14 pies,LF,4.6,0.0,0.0
107,COMERCIAL,FRM STD-20A,Framing Metálico - Stud 3-5/8 cal. 20 (reforzado/puertas/cajas eléctricas) a 16 O.C.,LF,5.1,0.0,0.0
108,COMERCIAL,FRM STD-20B,Framing Metálico - Stud 6 pulgadas cal. 20 para muros de plomería y fachadas (hasta 14 pies),LF,7.8,0.0,0.0
109,COMERCIAL,FRM HDR-M,Framing Metálico - Dintel/Cabezal armado sobre vanos de puertas (Box Header comercial),EA,65.0,0.0,0.0
110,COMERCIAL,INS SAF-3,Aislamiento - Lana mineral de absorción acústica y cortafuego (Thermafiber/SAFB 3 pulg),SF,1.15,0.0,0.0
111,COMERCIAL,INS BAT-R19,Aislamiento - Colchoneta de fibra de vidrio R-19 para atenuación térmica/acústica,SF,1.25,0.0,0.0
112,COMERCIAL,DRY RC1,Drywall Comercial - Suministro e instalación de canal resiliente acústico (RC-1 Channel),LF,1.85,0.0,0.0
113,COMERCIAL,DRY 58-X,Drywall Comercial - Colgado de panel de yeso 5/8 Tipo X cortafuego (Fire-Shield),SF,1.7,0.0,0.0
114,COMERCIAL,DRY 58-C,Drywall Comercial - Colgado de panel 5/8 Tipo C (resistencia extendida para cielos rasos),SF,2.05,0.0,0.0
115,COMERCIAL,DRY 58-M,Drywall Comercial - Colgado de panel 5/8 antihumedad y antimoho (Mold/Moisture Resistant),SF,2.15,0.0,0.0
116,COMERCIAL,DRY 58-DGS,Drywall Comercial - Colgado de panel exterior con velo de fibra de vidrio (DensGlass 5/8),SF,2.75,0.0,0.0
117,COMERCIAL,DRY CEMENT,Drywall Comercial - Panel de cemento para áreas húmedas de alto uso (Durock 1/2 o 5/8),SF,2.95,0.0,0.0
118,COMERCIAL,DRY CRN-M,Drywall Comercial - Instalación de esquinero exterior metálico remachado/atornillado,LF,1.85,0.0,0.0
119,COMERCIAL,DRY CRN-V,Drywall Comercial - Instalación de esquinero vinílico o bullnose comercial,LF,2.1,0.0,0.0
120,COMERCIAL,DRY LVL-3,Drywall Comercial - Encinte y acabado Nivel 3 (listo para revestimiento pesado o textura),SF,0.95,0.0,0.0
121,COMERCIAL,DRY LVL-4,"Drywall Comercial - Encinte, masillado y lijado Nivel 4 (estándar comercial para pintura plana)",SF,1.3,0.0,0.0
122,COMERCIAL,DRY LVL-5,Drywall Comercial - Acabado Nivel 5 (Skim coat total sobre toda la superficie para pinturas satinadas),SF,1.85,0.0,0.0
123,COMERCIAL,STP FIR-C,Sellado Cortafuego - Masilla intumescente roja en penetraciones de cables y tubos (Fire Caulk),EA,18.0,0.0,0.0
124,COMERCIAL,STP FIR-L,Sellado Cortafuego - Junta de control superior/inferior de muro contra losa (Head of Wall Firestop),LF,3.4,0.0,0.0
125,COMERCIAL,STP ACS-L,Sellado Acústico - Cordón continuo de masilla acústica resiliente en perfiles perimetrales,LF,1.1,0.0,0.0
126,COMERCIAL,ACT DEM-T,Cielo Acústico - Retiro de baldosas acústicas existentes y disposición en dumpster,SF,0.4,0.0,0.0
127,COMERCIAL,ACT DEM-G,Cielo Acústico - Demolición y retiro de retícula metálica (grid) y alambres de cuelgue,SF,0.55,0.0,0.0
128,COMERCIAL,ACT DEM-ALL,Cielo Acústico - Demolición completa de sistema suspendido (placas + perfiles + alambre),SF,0.85,0.0,0.0
129,COMERCIAL,ACT WIR-12,Cielo Acústico - Instalación de alambre galvanizado de cuelgue cal. 12 con anclaje a losa/estructura,LF,0.65,0.0,0.0
130,COMERCIAL,ACT WIR-SM,Cielo Acústico - Riostras sísmicas de 4 vías y cables de tensión (Seismic Bracing reglamentario),EA,42.0,0.0,0.0
131,COMERCIAL,ACT WNG-15,Cielo Acústico - Moldura perimetral / ángulo de pared L de 15/16 pulg (Wall Molding),LF,1.85,0.0,0.0
132,COMERCIAL,ACT WNG-SD,Cielo Acústico - Moldura perimetral escalonada / Shadow line para acabado arquitectónico,LF,2.65,0.0,0.0
133,COMERCIAL,ACT MN-12,Cielo Acústico - Perfil principal portante de 12 pies (Main Runner 15/16 o 9/16),LF,1.95,0.0,0.0
134,COMERCIAL,ACT XT-4,Cielo Acústico - Perfil secundario cruzado de 4 pies (Cross Tee 4ft),LF,1.45,0.0,0.0
135,COMERCIAL,ACT XT-2,Cielo Acústico - Perfil secundario cruzado de 2 pies (Cross Tee 2ft para retícula 2x2),LF,1.35,0.0,0.0
136,COMERCIAL,ACT GRD-24,Cielo Acústico - Suministro e instalación completa de suspensión metálica 2x4 (Grid Only),SF,1.65,0.0,0.0
137,COMERCIAL,ACT GRD-22,Cielo Acústico - Suministro e instalación completa de suspensión metálica 2x2 (Grid Only),SF,1.95,0.0,0.0
138,COMERCIAL,ACT TIL-24S,Cielo Acústico - Baldosa 2x4 estándar borde cuadrado (ej. Armstrong Cortega / USG Radar),SF,1.25,0.0,0.0
139,COMERCIAL,ACT TIL-22S,Cielo Acústico - Baldosa 2x2 estándar borde cuadrado (Square Lay-in),SF,1.45,0.0,0.0
140,COMERCIAL,ACT TIL-22T,Cielo Acústico - Baldosa 2x2 borde ranurado / rebajado (Tegular Edge para rejilla vista),SF,2.1,0.0,0.0
141,COMERCIAL,ACT TIL-VIN,Cielo Acústico - Baldosa 2x4 o 2x2 con recubrimiento vinílico lavable (para cocinas/clínicas Clean Room),SF,2.85,0.0,0.0
142,COMERCIAL,ACT TIL-FBR,Cielo Acústico - Baldosa de fibra mineral acústica de alta atenuación de sonido (NRC > 0.70),SF,3.2,0.0,0.0
143,COMERCIAL,ACT CUT-P,Cielo Acústico - Perforación y corte perimetral en placa para rociador de incendio (Sprinkler head),EA,12.0,0.0,0.0
144,COMERCIAL,ACT CUT-L,Cielo Acústico - Ajuste perimetral y marco para lámpara de empotrar / Troffer 2x4 o 2x2,EA,18.0,0.0,0.0
145,COMERCIAL,ACT ACC-DR,Cielo Acústico - Puerta de acceso articulada empotrada en cielo suspendido,EA,165.0,0.0,0.0
146,COMERCIAL,FLR DEM-VCT,Piso Comercial - Remoción de loseta vinílica VCT o LVT existente,SF,0.65,0.0,0.0
147,COMERCIAL,FLR DEM-CPT,Piso Comercial - Remoción y despegado de alfombra pegada directo (Glue-down),SF,0.5,0.0,0.0
148,FLR PREP,FLR MST-REM,Piso Comercial - Raspado y remoción mecánica de adhesivo / mastic viejo en concreto,SF,0.95,0.0,0.0
149,FLR PREP,FLR MST-TST,Piso Comercial - Prueba de emisión de humedad en losa de concreto (Calcium Chloride test),EA,125.0,0.0,0.0
150,FLR PREP,FLR BAR-HUM,Piso Comercial - Aplicación de barrera epóxica mitigadora de humedad en losa (Moisture Barrier),SF,2.1,0.0,0.0
151,FLR PREP,FLR SKM-CMP,Piso Comercial - Alisado fino y parchado de fisuras con compuesto cementicio (Skim Coat Patching),SF,0.75,0.0,0.0
152,FLR PREP,FLR SLV-BAG,Piso Comercial - Autonivelante de alta resistencia para grandes espesores en piso comercial,BAG,52.0,0.0,0.0
153,COMERCIAL,FCW VCT-STD,Piso Comercial - Instalación de loseta vinílica de composición VCT 12x12 estándar comercial,SF,2.1,0.0,0.0
154,COMERCIAL,FCW VCT-PRM,Piso Comercial - Instalación de loseta VCT premium / antideslizante o disipativa estática (ESD),SF,3.4,0.0,0.0
155,COMERCIAL,FCW LVT-COM,Piso Comercial - Instalación de listón o losa vinílica comercial de alto tráfico (Wear Layer 20 mil+),SF,2.65,0.0,0.0
156,COMERCIAL,FCW SHT-VIN,Piso Comercial - Rollo de vinilo continuo homogéneo sanitario con soldadura térmica en juntas,SF,5.25,0.0,0.0
157,COMERCIAL,FCW WAX-NEW,"Piso Comercial - Limpieza inicial neutra, 1 mano de sellador y 3 manos de cera de alto brillo",SF,0.6,0.0,0.0
158,COMERCIAL,FCW WAX-STR,Piso Comercial - Decapado químico profundo (Stripping) de cera vieja acumulada y encerado nuevo,SF,0.85,0.0,0.0
159,COMERCIAL,FCC MOD-24,Piso Comercial - Instalación de alfombra modular en cuadros (Carpet Tiles 24x24) con adhesivo releasable,SF,2.2,0.0,0.0
160,COMERCIAL,FCC MOD-PAT,Piso Comercial - Instalación de alfombra modular con patrón arquitectónico geométrico / diseño especial,SF,2.65,0.0,0.0
161,COMERCIAL,FCC BRD-DIR,Piso Comercial - Instalación de alfombra comercial en rollo pegada directo al concreto (Direct Glue-down),SF,1.95,0.0,0.0
162,COMERCIAL,FNC COV-4IN,Piso Comercial - Suministro e instalación de rodapié sanitario vinílico / caucho de 4 pulg (Cove Base),LF,1.45,0.0,0.0
163,COMERCIAL,FNC COV-6IN,Piso Comercial - Suministro e instalación de rodapié sanitario de caucho de 6 pulg con labio sanitario,LF,1.95,0.0,0.0
164,COMERCIAL,FNC COV-CRN,Piso Comercial - Esquinero preformado de fábrica para rodapié comercial (Corner Block / Cap),EA,3.5,0.0,0.0
165,COMERCIAL,FNC RED-COM,Piso Comercial - Tira reductora y transición de caucho comercial de alta resistencia al tráfico,LF,4.5,0.0,0.0
166,COMERCIAL,CNC POL-LV1,Piso Comercial - Desbaste y pulido básico de piso de concreto a llana (Ground & Polished),SF,3.2,0.0,0.0
167,COMERCIAL,CNC POL-LV2,Piso Comercial - Concreto pulido con endurecedor de litio y abrillantador hasta grano 1500,SF,4.8,0.0,0.0
168,COMERCIAL,CNC EPX-2PT,Piso Comercial - Sistema epóxico comercial de 2 componentes autonivelante de alto impacto (100% sólidos),SF,4.75,0.0,0.0
169,COMERCIAL,CNC EPX-FLK,Piso Comercial - Revestimiento epóxico decorativo con hojuelas de vinilo (Flake broadcast) y capa transparente,SF,5.5,0.0,0.0
170,COMERCIAL,DOR DEM-MET,Puertas Comerciales - Demolición y desmonte de puerta metálica y marco de acero existente,EA,95.0,0.0,0.0
171,COMERCIAL,DOR DEM-HRD,Puertas Comerciales - Retiro y recuperación de cerradura/herraje comercial existente,EA,35.0,0.0,0.0
172,COMERCIAL,FRM MET-KD3,Puertas Comerciales - Instalación de marco de acero Knock-Down (KD) para muro stud 3-5/8,EA,140.0,0.0,0.0
173,COMERCIAL,FRM MET-KD6,Puertas Comerciales - Instalación de marco de acero Knock-Down (KD) para muro stud 6 pulg,EA,165.0,0.0,0.0
174,COMERCIAL,FRM MET-WLD,Puertas Comerciales - Montaje y anclaje de marco de acero soldado (Welded Frame) a mampostería,EA,190.0,0.0,0.0
175,COMERCIAL,DOR HLM-3070,Puertas Comerciales - Colgado de puerta de acero hueco 3-0 x 7-0 (Hollow Metal cal. 18/16),EA,185.0,0.0,0.0
176,COMERCIAL,DOR HLM-FIRE,Puertas Comerciales - Colgado de puerta cortafuego clasificada UL (Fire-Rated 90 min o 3 hrs),EA,230.0,0.0,0.0
177,COMERCIAL,DOR WOD-SOL,Puertas Comerciales - Instalación de puerta comercial de madera de núcleo sólido (Solid Wood Core),EA,165.0,0.0,0.0
178,COMERCIAL,DOR LIT-INS,Puertas Comerciales - Instalación de mirilla de vidrio templado o alambre cortafuego (Lite Kit),EA,85.0,0.0,0.0
179,COMERCIAL,HRD HNG-STD,Herrajes Comerciales - Instalación de juego de 3 bisagras de balero de uso pesado (Ball Bearing 4.5x4.5),SET,45.0,0.0,0.0
180,COMERCIAL,HRD HNG-CNT,Herrajes Comerciales - Instalación de bisagra corrida continua de aluminio/acero (Continuous Piano Hinge),EA,125.0,0.0,0.0
181,COMERCIAL,HRD HNG-SPG,Herrajes Comerciales - Instalación de bisagras de resorte con cierre automático (Spring Hinges),SET,65.0,0.0,0.0
182,COMERCIAL,HRD LCK-GR1,Herrajes Comerciales - Instalación de cerradura de palanca comercial cilíndrica Grado 1 (ADA Compliant),EA,85.0,0.0,0.0
183,COMERCIAL,HRD MOR-LCK,Herrajes Comerciales - Instalación de cerradura comercial de embutir pesada (Mortise Lockset),EA,150.0,0.0,0.0
184,COMERCIAL,HRD PAN-RIM,Herrajes Comerciales - Instalación de barra antipánico de borde comercial (Rim Exit Device / Panic Bar),EA,165.0,0.0,0.0
185,COMERCIAL,HRD PAN-VRD,Herrajes Comerciales - Barra antipánico con varillas verticales superior e inferior (Surface/Concealed Rods),EA,240.0,0.0,0.0
186,COMERCIAL,HRD ACC-ELC,Herrajes Comerciales - Instalación de recibidor eléctrico para control de acceso (Electric Strike),EA,175.0,0.0,0.0
187,COMERCIAL,HRD CLS-GR1,Herrajes Comerciales - Instalación y calibración de cierrapuertas hidráulico superior Grado 1,EA,95.0,0.0,0.0
188,COMERCIAL,HRD CLS-HDL,Herrajes Comerciales - Instalación de cierrapuertas de uso rudo con brazo de retención (Hold-Open Arm),EA,115.0,0.0,0.0
189,COMERCIAL,HRD STP-FLR,Herrajes Comerciales - Instalación de tope de puerta pesado fijado a piso de concreto o pared,EA,25.0,0.0,0.0
190,COMERCIAL,HRD KCK-PLT,Herrajes Comerciales - Instalación de placa de protección inferior de acero inoxidable (Kick Plate),EA,30.0,0.0,0.0
191,COMERCIAL,DOR WTH-SMK,Sellado de Puerta - Instalación de empaque perimetral de sellado contra humo y aire (Smoke Gasket Seal),LF,2.85,0.0,0.0
192,COMERCIAL,DOR WTH-TRS,Sellado de Puerta - Instalación de umbral de aluminio comercial para piso (Saddle Threshold ADA),LF,8.5,0.0,0.0
193,COMERCIAL,DOR WTH-SWP,Sellado de Puerta - Instalación de barredera / barrido inferior automático de puerta (Door Bottom Sweep),EA,45.0,0.0,0.0
194,COMERCIAL,DOR AST-DBL,Sellado de Puerta - Instalación de moldura astrágal para par de puertas dobles cortafuego,LF,6.5,0.0,0.0
195,COMERCIAL,BTH DEM-STL,Baños Comerciales - Desmonte y remoción de cabina/mampara divisoria de inodoro existente,EA,75.0,0.0,0.0
196,COMERCIAL,BTH DEM-ACC,"Baños Comerciales - Retiro de accesorios sanitarios comerciales (dispensadores, barras, espejos)",EA,22.0,0.0,0.0
197,COMERCIAL,BTH DEM-URM,Baños Comerciales - Desmonte de urinario o inodoro comercial con fluxómetro,EA,85.0,0.0,0.0
198,COMERCIAL,DIV STL-STD,Baños Comerciales - Instalación de cabina estándar de inodoro en acero esmaltado (Floor-anchored),EA,340.0,0.0,0.0
199,COMERCIAL,DIV STL-ADA,Baños Comerciales - Instalación de cabina amplia accesible ADA con giro reglamentario de 60 pulg,EA,420.0,0.0,0.0
200,COMERCIAL,DIV STL-PLS,Baños Comerciales - Mampara divisoria de plástico sólido HDPE resistente a vandalismo/humedad,EA,480.0,0.0,0.0
201,COMERCIAL,DIV STL-CEL,Baños Comerciales - Cabina sanitaria suspendida de techo con anclaje a estructura (Ceiling-hung),EA,510.0,0.0,0.0
